,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
arena_player_left,Player %s left the game.,Игрок %s покинул игру.,,,Spieler % hat das Spiel verlassen.,,,Gracz %s opóścił grę.,玩家离开了游戏,,,,,
arena_spectating_text,Spectating %s,Наблюдение за %s,,,Schaue % zu,,,Oglądasz %s,正在观战 %s,,,,,
arena_gamemode_name,Arena,Арена,,,Arena,,,Arena,竞技场,,,,,
arena_settings_damage_cap_name,Damage Cap,Лимит Урона,,,Schadenslimit,,,Limit obrażeń,承伤保护,,,,,
arena_settings_damage_cap_description,"One shot protection, how much damage can be dealt to a player at once.",Защита от ваншота. Сколько урона можно нанести игроку за один удар.,,,wie viel Schaden einem Spieler auf einmal zugefügt werden kann.,,,"Obrona przed śmiercią od jednego ataku, ile obrażeń można zadać graczowi na raz",一个全伤害的受伤保护，承伤倍率（你所承受的伤害会以多少倍率伤害你）,,,,,
arena_settings_damage_cap_25,25% of max,25% максимума,,,25% vom Maximum,,,25% obrażeń,0.25倍,,,,,
arena_settings_damage_cap_50,50% of max,50% максимума,,,50% vom Maximum,,,50% obrażeń,0.50倍,,,,,
arena_settings_damage_cap_75,75% of max,75% максимума,,,75% vom Maximum,,,75% obrażeń,0.75倍,,,,,
arena_settings_damage_cap_disabled,Disabled,Выключено,,,deaktiviert,,,Wyłączone,禁用保护,,,,,
arena_settings_zone_shrink_name,Zone Mode,Режим Зоны,,,Zonen Modus,,,Tryb strefy,伤害区域,,,,,
arena_settings_zone_shrink_description,How the damage zone shrinks over time.,Как зона уменьшается со временем.,,,Wie schnell die Zone über Zeit schrumpft.,,,Jak strefa obrażeń zmniejsza się z czasem,安全区域如何随时间缩小。,,,,,
arena_settings_zone_shrink_static,Static,Статичная,,,statisch,,,Nieruchoma,静止,,,,,
arena_settings_zone_shrink_linear,Linear Shrinking,Линейно уменьшается,,,lineares Schrumpfen,,,Zmniejszająca się liniowo,线性收缩,,,,,
arena_settings_zone_shrink_stepped,Stepped Shrinking,Уменьшается по шагам,,,stufiges Schrumpfen,,,Zmniejszająca się krokowo,步进收缩,,,,,
arena_settings_zone_shrink_disabled,Disabled,Выключено,,,deaktiviert,,,Wyłączona,禁用伤害区域,,,,,
arena_settings_zone_speed_name,Zone Speed,Скорость Зоны,,,Zonen Geschwindigkeit,,,Prędkośc strefy,收缩速度,,,,,
arena_settings_zone_speed_description,How fast the damage zone shrinks over time. \nPixels per step or pixels per minute.,Как быстро зона уменьшается со временем. \n Пиксели за шаг или пиксели в минуту.,,,Wie schnell die Zone über Zeit schrumpft. % Pixel pro Schritt or % Pixel pro Minute.,,,Jak szybko strefa obrażeń zmniejsza się w czasie.\nPiksele na krok lub piksele na minutę.,伤害区域随时间缩小的速度。 \n调整的是单次缩小的像素距离,,,,,
arena_settings_zone_step_interval_name,Zone Interval,Интервал Зоны,,,Zonen Intervall,,,Okres zmniejszania strefy,收缩间隔,,,,,
arena_settings_zone_step_interval_description,Seconds between zone shrinks. \n(Only used in Stepped Shrinking mode),"Секунд между уменьшениями зоны. \n (Используется только в режиме ""Уменьшается по шагам"")",,,Sekunden zwischen Zonen schrumpfen ( Nur im stufigem Schrumpf Modus ),,,Sekundy pomiędzy zmniejszeniami strefy.\n(Tylko w trybie krokowym),安全区的缩小间隔时间 \n（仅在步进收缩模式下使用）,,,,,
arena_settings_shop_type_name,Shop Style,Тип Магазина,,,Laden Typ,,,Rodzaj sklepu,商店风格,,,,,
arena_settings_shop_type_description,Decides which style of shop will the player have between rounds.,Определяет какой тип магазина игроки получат между раундами.,,,Entscheidet welchen Typ Laden ein Spieler zwischen Runden bekommt.,,,Określa jaki rodzaj sklepu gracze odwiedzą pomiędzy rundami.,决定玩家在回合之间拥有哪种风格的商店。,,,,,
arena_settings_shop_type_alternating,Alternating,Чередуется,,,abwechselnd,,,Alternujące,交替,,,,,
arena_settings_shop_type_mixed,Mixed,Смешанный,,,gemischt,,,Mieszane,混合,,,,,
arena_settings_shop_type_random,Random,Случайный,,,zufällig,,,Losowe,随机,,,,,
arena_settings_shop_type_spell_only,Spells Only,Только Заклинания,,,Nur Zauber,,,Tylko czary,仅限法术,,,,,
arena_settings_shop_type_wand_only,Wands Only,Только Жезлы,,,Nur Zauberstäbe,,,Tylko różdżki,仅限法杖,,,,,
arena_settings_shop_type_choose,Player's Choice,Выбор Игрока,,,Spieler Wahl,,,Wybór gracza,玩家自定义选项,,,,,
arena_settings_shop_wand_chance_name,Shop Wands,Жезлов в Магазине,,,Laden Zauberstäbe,,,Sklep z różdżkami,商店生成法杖概率,,,,,
arena_settings_shop_wand_chance_description,Percentage of shop items which will be wands.,"Процент предметов в магазине, которые будут жезлами",,,prozentueller Anteil von Laden Gegenständen werden Zauberstäbe sein.,,,Procent szansy na sklep z różdżkami,商品将概率变成法杖\n[用于混合型商店],,,,,
arena_settings_shop_random_ratio_name,Wand Shops,Магазины Жезлов,,,Zauberstab Läden,,,Sklepy z różdżkami,随机商店比例,,,,,
arena_settings_shop_random_ratio_description,Chance to get a wand shop.,Шанс получить магазин жезлов,,,Chance einen Zauberstab Laden zu bekommen.,,,Szansa na sklep z różdżkami,法杖与法术商店的出现比例\n[对于常规商店的随机化调整],,,,,
arena_players_ready,Players ready: ,Игроки готовы:,,,Spieler bereit: %,,,Gotowi gracze: %s,玩家准备：,,,,,
arena_playerinfo_ping,Ping: %sms,Пинг: %sms,,,Ping: %sms,,,Ping: %sms,PING: %s 毫秒,,,,,
arena_playerinfo_delay,Delay: %s frames,Задержка: %s кадров,,,Zeitverzögerung: %sms,,,Opóźnienie: %sms,延迟：%s 帧,,,,,
arena_playerinfo_wins,Wins: %s,Победы: %s,,,Siege: %s,,,Ilośc wygranych: %s,胜利：%s,,,,,
arena_playerinfo_no_perks,No perks,Нет Бонусов,,,keine Bonis,,,Brak dodatkowych umiejętności,无天赋,,,,,
arena_other_player_died,%s died,%s умер,,,% ist gestorben,,,%s umarł,%s 死了,,,,,
arena_playerinfo_you,You,Вы,,,Du,,,Ty,你,,,,,
arena_holymountain_enter,You have entered the holy mountain,Вы вошли в Святую Гору,,,Du hast den Heiligen Berg betreten,,,Wszedłeś do świątyni,已进入圣山,,,,,
arena_holymountain_enter_sub,Prepare to enter the arena.,Готовьтесь к выходу на Арену.,,,Bereite dich vor die Arena zu betreten,,,Przygotuj się do wejścia na arenę,准备进入竞技场,,,,,
arena_holymountain_ready,Press $0 to ready up,Нажмите $0 для готовности,,,Drücke $0 um dich bereit zu machen,,,Naciśnij $0 jeżeli jesteś gotowy,按下 $0 进入准备,,,,,
arena_holymountain_unready,Press $0 to unready,Нажмите $0 для отмены готовности,,,Drücke $0 um dich nicht bereit zu machen,,,Naciśnij $0 aby anulować gotowość,按下 $0 取消准备,,,,,
arena_open_beta,Open Beta,,,,Offene Beta,,,Otwarta Beta,公测版,,,,,
arena_dev,Dev,,,,Entwickler,,,,开发版,,,,,
arena_prerelease,Pre release,,,,Vorveröffentlichung,,,,前瞻版,,,,,
arena_ready_count_left_name,Ready Count Left,,,,Bereit Anzeige links,,,Licznik gotowych graczy po lewej stronie,未就绪,,,,,
arena_ready_count_left_description,Move ready count to the left side of the screen.,,,,Bewege die Bereit Anzeige zu der linken Seite des Bildschirms.,,,Przenieś licznik gotowych graczy na lewą stronę ekranu,将就绪计数移至屏幕左侧,,,,,
arena_returning_to_lobby_text,Returning to lobby in %s seconds,,,,Kehre zur Lobby in %s Sekunden zurück,,,Powrót do pokoju za %s sekund,将在 %s 秒后返回房间,,,,,
arena_settings_no_cost_name,Free shop items,,,,kostenlose Laden Gegenstände,,,Darmowe przedmioty w sklepie,,,,,,
arena_settings_no_cost_description,Shop items no longer have a price tag attached,,,,Laden Gegenstände haben keinen Preis mehr,,,Przedmioty w sklepie nie będą posiadają ceny,,,,,,
arena_settings_upgrades_system_name,Card System,,,,Runden Upgrades,,,Ulepszenia co rundę,,,,,,
arena_settings_upgrades_system_description,Players get to pick a card every round.,,,,Spieler können ein Upgrade pro Runde wählen,,,Gracze mogą wybrać ulepszenie w każdej rundzie.,,,,,,
arena_upgrades_max_mana_name,Max Mana Upgrade,,,,Max Mana upgrade,,,Ulepszenie maksymalnej many,,,,,,
arena_upgrades_max_mana_description,Upgrade the max mana of your selected wand,,,,erhöht das maximale Mana von deinem ausgewähltem Zauberstab,,,Ulepsz maksymalną manę na trzymanej różdżce.,,,,,,
arena_upgrades_mana_recharge_name,Mana Recharge Upgrade,,,,Mana aufladen upgrade,,,Ulepszenie ładowania many,,,,,,
arena_upgrades_mana_recharge_description,Upgrade the mana recharge of your selected wand,,,,Erhöht die Aufladegeschwindigkeit vom Mana von deinem ausgewähltem Zauberstab,,,Ulepsz ładowanie many na trzymanej różdżce.,,,,,,
arena_upgrades_cast_delay_name,Cast Delay Upgrade,,,,Zauber Verzögerung upgrade,,,Ulepszenie czasu rzucania czarów,,,,,,
arena_upgrades_cast_delay_description,Upgrade the cast delay of your selected wand,,,,verringert die Zauber Verzögerung von deinem ausgewähltem Zauberstab,,,Ulepsz czas rzucania czarów na trzymanej różdżce.,,,,,,
arena_upgrades_reload_time_name,Recharge Time Upgrade,,,,Lade Zeit upgrade,,,Ulepszenie czasu przeładowania,,,,,,
arena_upgrades_reload_time_description,Upgrade the recharge time of your selected wand,,,,verringert die Lade Zeit von deinem ausgewähltem Zauberstab,,,Ulepsz czas przeładowania na trzymanej różdżce.,,,,,,
arena_upgrades_increase_spread_name,Increase Spread,,,,erhöhte Streuung,,,Zwiększenie rozrzutu,,,,,,
arena_upgrades_increase_spread_description,Increase the spread of your selected wand,,,,erhöht die Streuung von deinem ausgewähltem Zauberstab,,,Zwiększ rozrzut na trzymanej różdżce.,,,,,,
arena_upgrades_reduce_spread_name,Reduce Spread,,,,reduzierte Streuung,,,Zmniejszenie rozrzutu,,,,,,
arena_upgrades_reduce_spread_description,Reduce the spread of your selected wand,,,,reduziert die Streuung von deinem ausgewähltem Zauberstab,,,Zmniejsz rozrzut na trzymanej różdżce.,,,,,,
arena_upgrades_increase_multicast_name,Increase Multicast Count,,,,erhöhe Mehrfach Zauber Wirkung,,,Zwiększenie ilości jednocześnie rzucanych czarów,,,,,,
arena_upgrades_increase_multicast_description,Increase the multicast count of your selected wand,,,,erhöht die mehrfache Zauberwirkung von deinem ausgewähltem Zauberstab,,,Zwiększ ilość jednocześnie rzucanych czarów na trzymanej różdżce.,,,,,,
arena_upgrades_reduce_multicast_name,Reduce Multicast Count,,,,reduzierte mehrfach Zauber Wirkung,,,Zmniejszenie ilości jednocześnie rzucanych czarów,,,,,,
arena_upgrades_reduce_multicast_description,Reduce the multicast count of your selected wand,,,,reduziert die mehrfache Zauberwirkung von deinem ausgewähltem Zauberstab,,,Zmniejsz ilość jednocześnie rzucanych czarów na trzymanej różdżce.,,,,,,
arena_upgrades_slots_name,Slots Upgrade,,,,Zauber Platz Erhöhung ,,,Ulepszenie pojemności,,,,,,
arena_upgrades_slots_description,Upgrade the slot count of your selected wand,,,,erhöht die Anzahl der Zauber Plätze auf deinem ausgewähltem Zaubertab,,,Zwiększ pojemność na trzymanej różdżce.,,,,,,
arena_upgrades_add_always_cast_name,Add Always Cast,,,,Füge Always Cast hinzu,,,Dodaj zawsze rzucany czar,,,,,,
arena_upgrades_add_always_cast_description,Add an always cast to your selected wand,,,,Fügt einen Always Cast auf deinem ausgewähltem Zauberstab hinzu,,,Dodaj zawsze rzucany czas na trzymanej różdżce.,,,,,,
arena_upgrades_unshuffle_name,Unshuffle,,,,nicht mischen,,,Porządek,,,,,,
arena_upgrades_unshuffle_description,Your selected wand is unshuffled,,,,dein ausgewählter Zauberstab mischt nicht mehr,,,Uporządkuj rzucanie czarów na trzymanej różdżce.,,,,,,
arena_upgrades_max_mana_all_name,Max Mana Upgrade+,,,,Max Mana upgrade,,,Ulepszenie maksymalnej many+,,,,,,
arena_upgrades_max_mana_all_description,Upgrade the max mana of all your wands,,,,erhöht das maximale Mana von all deinen Zauberstäben,,,Ulepsz maksymalną manę na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_mana_recharge_all_name,Mana Recharge Upgrade+,,,,Mana aufladen upgrade,,,Ulepszenie ładowania many+,,,,,,
arena_upgrades_mana_recharge_all_description,Upgrade the mana recharge of all your wands,,,,Erhöht die Aufladegeschwindigkeit vom Mana all deinen Zauberstäben,,,Ulepsz ładowanie many na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_cast_delay_all_name,Cast Delay Upgrade+,,,,Zauber Verzögerung upgrade,,,Ulepszenie czasu rzucania czarów+,,,,,,
arena_upgrades_cast_delay_all_description,Upgrade the cast delay of all your wands,,,,verringert die Zauber Verzögerung von all deinen Zauberstäben,,,Ulepsz czas rzucania czarów na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_reload_time_all_name,Recharge Time Upgrade+,,,,Lade Zeit upgrade,,,Ulepszenie czasu przeładowania+,,,,,,
arena_upgrades_reload_time_all_description,Upgrade the recharge time of all your wands,,,,verringert die Lade Zeit von all deinen Zauberstäben,,,Ulepsz czas przeładowania na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_increase_spread_all_name,Increase Spread+,,,,erhöhte Streuung,,,Zwiększenie rozrzutu+,,,,,,
arena_upgrades_increase_spread_all_description,Increase the spread of all your wands,,,,erhöht die Streuung von all deinen Zauberstäben,,,Zwiększ rozrzut na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_reduce_spread_all_name,Reduce Spread+,,,,reduzierte Streuung,,,Zmniejszenie rozrzutu+,,,,,,
arena_upgrades_reduce_spread_all_description,Reduce the spread of all your wands,,,,reduziert die Streuung von all deinen Zauberstäben,,,Zmniejsz rozrzut na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_increase_multicast_all_name,Increase Multicast Count+,,,,erhöhe Mehrfach Zauber Wirkung,,,Zwiększenie ilości jednocześnie rzucanych czarów+,,,,,,
arena_upgrades_increase_multicast_all_description,Increase the multicast count of all your wands,,,,erhöht die mehrfache Zauberwirkung von all deinen Zauberstäben,,,Zwiększ ilość jednocześnie rzucanych czarów na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_reduce_multicast_all_name,Reduce Multicast Count+,,,,reduzierte mehrfach Zauber Wirkung,,,Zmniejszenie ilości jednocześnie rzucanych czarów+,,,,,,
arena_upgrades_reduce_multicast_all_description,Reduce the multicast count of all your wands,,,,reduziert die mehrfache Zauberwirkung von all deinen Zauberstäben,,,Zmniejsz ilość jednocześnie rzucanych czarów na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_slots_all_name,Slots Upgrade+,,,,Zauber Platz Erhöhung ,,,Ulepszenie pojemności+,,,,,,
arena_upgrades_slots_all_description,Upgrade the slot count of all your wands,,,,erhöht die Anzahl der Zauber Plätze auf all deinen Zauberstäben,,,Zwiększ pojemność na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_add_always_cast_all_name,Add Always Cast+,,,,Füge Always Cast hinzu,,,Dodaj zawsze rzucany czar+,,,,,,
arena_upgrades_add_always_cast_all_description,Add an always cast to all your wands,,,,Fügt einen Always Cast auf all deinen Zauberstäben,,,Dodaj zawsze rzucany czas na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_unshuffle_all_name,Unshuffle+,,,,nicht mischen,,,Porządek+,,,,,,
arena_upgrades_unshuffle_all_description,All your wands are unshuffled,,,,dein ausgewählter Zauberstab mischt nicht mehr,,,Uporządkuj rzucanie czarów na wszystkich swoich różdżkach.,,,,,,
arena_upgrades_gold_name,Payday,,,,Zahltag,,,Wypłata,,,,,,
arena_upgrades_gold_description,You gain an additional set of gold this round.,,,,du bekommst eine zusätzliche Menge an Gold diese Runde.,,,Otrzymaj dodatkowe złoto w tej rundzie.,,,,,,
arena_upgrades_random_perk_name,Random Perk,,,,Zufälliger Boni,,,Losowa umiejętność,,,,,,
arena_upgrades_random_perk_description,You gain a random perk.,,,,du erhältst einen zufälligen Boni.,,,Otrzymujesz losową umiejętność.,,,,,,
arena_upgrades_health_name,Health,,,,Gesundheit,,,Życie,,,,,,
arena_upgrades_health_description,You gain 25% extra max health.,,,,Deine maximale Gesundheit wird um 25% erhöht,,,Otrzymujesz 25% dodatkowego maksymalnego życia.,,,,,,
arena_settings_upgrades_reward_system_name,Card Reward Type,,,,Upgrade Belohnungstyp,,,Rodzaj nagradzanych ulepszeń,,,,,,
arena_settings_upgrades_reward_system_description,Who should be given cards?,,,,Wer soll upgrades erhalten?,,,Kto powinien dostać ulepszenia?,,,,,,
arena_settings_reward_enum_winner,Winner,,,,Gewinner,,,Wygrany,,,,,,
arena_settings_reward_enum_losers,Losers,,,,Verlierer,,,Przegrani,,,,,,
arena_settings_reward_enum_first_death,First Death,,,,erster Tod,,,Pierwsza śmierć,,,,,,
arena_settings_reward_enum_everyone,Everyone,,,,Alle,,,Wszyscy,,,,,,
arena_settings_perk_reward_system_name,Perk Reward Type,,,,Boni Belohnungstyp,,,Rodzaj nagradzanych umiejętności,,,,,,
arena_settings_perk_reward_system_description,Who should be given perks?,,,,Wer soll Bonis erhalten?,,,Kto powinien dostać umiejętności?,,,,,,
arena_compensation_winner,You are rewarded for winning,,,,du wirst für das Gewinnen belohnt,,,Zostałeś nagrodzony za wygraną,,,,,,
arena_upgrades_pick,Pick a card,,,,wähle eine Karte,,,Wybierz kartę,,,,,,
arena_upgrades_skip_name,No thank you,,,,Nein dankeschön,,,Nie dzięki,,,,,,
arena_upgrades_skip_description,Do not pick a card this round.,,,,Wähle keine Karte in dieser Runde.,,,Nie podnoś żadnej karty w tej rundzie.,,,,,,
arena_settings_shop_scaling_name,Shop Tier Scaling,,,,Laden Stufe Skalierung,,,Okres skalowania sklepu,,,,,,
arena_settings_shop_scaling_description,How many rounds before the shop tier increases.,,,,Wie viele Runden bevor die Laden Stufe erhöht wird,,,Co ile rund zwiększa się poziom sklepu,,,,,,
arena_settings_shop_jump_name,Shop Tier Increment,,,,Laden Stufe Zuwachs,,,Skalowanie poziomu sklepu,,,,,,
arena_settings_shop_jump_description,How many tiers the shop increase by each time.,,,,Wie viele Stufen der Laden bei jedem Aufstieg hinzugewinnt,,,O ile poziomów skaluje się poziom sklepu co rundę.,,,,,,
arena_settings_max_shop_level_name,Max Shop Tier,,,,Maximale Laden Stufe,,,Maksymalny poziom sklepu,,,,,,
arena_settings_max_shop_level_description,Maximum tier of shops.,,,,Maximale Stufe des Ladens,,,Maksymalny poziom jaki osiągną sklepy.,,,,,,
arena_settings_shop_price_multiplier_name,Shop Price Multiplier,,,,Laden Preis Multiplikator,,,Mnożnik cen sklepu,,,,,,
arena_settings_shop_price_multiplier_description,How much the standard show price is multiplied by.,,,,Um wie viel der Standart Preis multipliziert wird,,,Jak pomnożone będą standardowe ceny sklepu.,,,,,,
arena_settings_shop_start_level_name,Shop Starting Tier,,,,Laden Start Stufe,,,Startowy poziom sklepów,,,,,,
arena_settings_shop_start_level_description,What tier shops start at.,,,,Bei welcher Stufe der Laden startet,,,Z jakim poziomem startują sklepy.,,,,,,
arena_settings_wand_removal_name,Wand Removal,,,,Zauberstab entfernen,,,Usuwanie różdżek,,,,,,
arena_settings_wand_removal_description,Remove wands at the end of rounds.,,,,Entferne Zauberstäbe am Ende der Runde,,,Usuwanie różdżek na koniec rundy.,,,,,,
arena_settings_wand_removal_enum_none,Disabled,,,,deaktiviert,,,Wyłączone,,,,,,
arena_settings_wand_removal_enum_all,All Wands,,,,Alle Zauberstäbe,,,Wszystkie różdżki,,,,,,
arena_settings_wand_removal_enum_random,Random Wand,,,,Zufällige Zauberstäbe,,,Losową różdżkę,,,,,,
arena_settings_wand_removal_who_name,Wand Removal Target,,,,Zauberstab entfernen Ziel,,,Ofiara usuwania,,,,,,
arena_settings_wand_removal_who_description,Who gets wands removed at the end of rounds?,,,,Wer bekommt seine Zauberstäbe am Ende der Runde entfernt?,,,Czyje różdżki zostaną usunięte na koniec rundy?,,,,,,
arena_settings_win_condition_name,Win Condition,,,,Gewinn Voraussetzung Wert,,,Warunek wygranej,,,,,,
arena_settings_win_condition_description,What type of win condition to use?,,,,Welche Gewinn Voraussetzung wird benutzt?,,,Jaki jest warunek wygranej?,,,,,,
arena_settings_win_condition_enum_unlimited,Unlimited,,,,Unendlich,,,Nieograniczony,,,,,,
arena_settings_win_condition_enum_first_to,First to X wins,,,,Erster bis X Siege,,,Pierwsza osoba do X wygranych,,,,,,
arena_settings_win_condition_enum_best_of,Best of X rounds,,,,Bester von X Runden,,,Najwięcej wygranych z X meczów,,,,,,
arena_settings_win_condition_enum_winstreak,Winstreak,,,,Siegesserie,,,Seria wygranych,,,,,,
arena_settings_win_condition_value_name,Win Condition Value,,,,Gewinn Voraussetzung Wert,,,Wartość warunku wygranej,,,,,,
arena_settings_win_condition_value_description,The value to use for the win condition.,,,,Der Wert der für die Gewinn Voraussetzung benutzt wird,,,Wartość używana w warunku wygranej.,,,,,,
arena_win_condition_text,%s has won the match!,,,,%s hat das Match gewonnen!,,,%s wygrał mecz!,,,,,,
arena_win_condition_description,They met the win condition.,,,,Sie haben die Gewinn Voraussetzung erfüllt,,,Spełnili warunek wygranej.,,,,,,
arena_win_condition_ending_game_text,Returning to lobby menu in %s seconds.,,,,Kehre zu Lobby Menü in %s Sekunden zurück,,,Powrót do pokoju za %s sekund.,,,,,,
arena_win_condition_near,%s is about to win the match!,,,,%s ist auf dem Weg das Match zu gewinnen!,,,%s niedługo wygra mecz!,,,,,,
arena_win_condition_near_description,Stop them while you can!,,,,Halte Sie auf bevor es zu spät ist!,,,Powstrzymaj ich jeżeli możesz.,,,,,,
arena_playerinfo_winstreak,Winstreak: %s,,,,Siegesserie: %s,,,Seria wygranych: %s,,,,,,
arena_playerinfo_kills,Kills: %s,,,,Tötungen: %s,,,Zabicia: %s,,,,,,
arena_playerinfo_killstreak,Killstreak: %s,,,,Tötungsserie: %s,,,Seria zabójstw: %s,,,,,,
arena_settings_win_condition_end_match_name,Win Condition End Match,,,,,,,Koniec meczu po spełnieniu warunku wygranej,,,,,,
arena_settings_win_condition_end_match_description,Should the match end after the win condition is met?,,,,,,,Czy mecz powinien się zakończyć po spełnieniu warunku wygranej?,,,,,,
arena_settings_perk_blacklist_name,Perk Blacklist,,,,,,,,,,,,,
arena_settings_spell_blacklist_name,Spell Blacklist,,,,,,,,,,,,,
arena_settings_hover_tooltip_blacklist,Click to blacklist,,,,,,,,,,,,,
arena_settings_hover_tooltip_whiitelist,Click to whitelist,,,,,,,,,,,,,
